Reference,Value,Qty
"C1,C4",100uF,2
"C2,C7,C8",100nF,3
"C3,C5",47uF,2
C6,470nF,1
C9,470pF,1
C10,270pF,1
"C11,C12",22nF,2
C13,2.2nF,1
C14,220nF,1
C15,3.3nF,1
"C16,C17,C18",10nF,3
C19,47nF,1
"C20,C21",1uF,2
D1,1N4148,1
J1,+9v,1
J2,In,1
J4,Out,1
Q1,BC547B,1
"R1,R9,R15,R17",2K2,4
"R2,R3,R4",10K,3
"R5,R14",1M,2
"R6,R11,R13",220K,3
R7,1K5,1
"R8,R16",22K,2
R10,56K,1
R12,24K,1
R18,5K6,1
R19,100K,1
R20,1K,1
RV1,B100K,1
RV2,B10K,1
RV3,A100K,1
U2,TL074,1
U3,TL071,1
