Comment,Designator,Footprint,LCSC Part #
IRF9358-TRPBF,Q2,IRF9358-TRPBF,C5350818
CYPD3177-24LQ,U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.75x2.75mm,C2959321
